t_rel_s,phase,mv,ma,watt,temp_max_c
47.169,warmup,4952.0,1760.0,8.7155,62.16
47.269,warmup,4944.0,1776.0,8.7805,62.25
47.369,warmup,4944.0,1792.0,8.8596,62.41
47.469,warmup,4944.0,1784.0,8.8201,62.41
47.570,warmup,4944.0,1784.0,8.8201,62.31
47.670,warmup,4952.0,1768.0,8.7551,62.16
47.770,warmup,4944.0,1784.0,8.8201,62.31
47.870,warmup,4944.0,1792.0,8.8596,62.41
47.970,warmup,4944.0,1792.0,8.8596,62.72
48.070,warmup,4944.0,1784.0,8.8201,62.50
48.170,warmup,4944.0,1768.0,8.7410,62.31
48.271,warmup,4944.0,1784.0,8.8201,62.47
48.371,warmup,4944.0,1800.0,8.8992,62.56
48.471,warmup,4944.0,1792.0,8.8596,62.31
48.571,warmup,4944.0,1784.0,8.8201,62.22
48.671,warmup,4944.0,1768.0,8.7410,62.41
48.771,warmup,4944.0,1784.0,8.8201,62.34
48.871,warmup,4944.0,1792.0,8.8596,62.38
48.972,warmup,4944.0,1792.0,8.8596,62.69
49.072,warmup,4944.0,1784.0,8.8201,62.31
49.172,warmup,4952.0,1768.0,8.7551,62.25
49.272,warmup,4944.0,1784.0,8.8201,62.38
49.372,warmup,4944.0,1800.0,8.8992,62.38
49.472,warmup,4944.0,1792.0,8.8596,62.59
49.572,warmup,4944.0,1784.0,8.8201,62.47
49.672,warmup,4944.0,1768.0,8.7410,62.44
49.773,warmup,4944.0,1784.0,8.8201,62.47
49.873,warmup,4944.0,1792.0,8.8596,62.53
49.973,warmup,4944.0,1784.0,8.8201,62.78
50.073,warmup,4944.0,1784.0,8.8201,62.56
50.173,warmup,4952.0,1768.0,8.7551,62.34
50.273,warmup,4944.0,1776.0,8.7805,62.31
50.373,warmup,4944.0,1792.0,8.8596,62.75
50.474,warmup,4944.0,1784.0,8.8201,62.50
50.574,warmup,4944.0,1784.0,8.8201,62.38
50.674,warmup,4944.0,1760.0,8.7014,62.66
50.774,warmup,4944.0,1776.0,8.7805,62.38
50.874,warmup,4944.0,1792.0,8.8596,62.44
50.974,warmup,4944.0,1784.0,8.8201,62.53
51.074,warmup,4944.0,1784.0,8.8201,62.38
